"RUN_ID","SERVER_COUNT","RUN_TIME","END_TIME","START_TIME","JOB_RUN_ID","JOB_ID_FIRST","RESULT_ID","BATCH_JOB_RUN_ID","JOB_ID_DEPLOY","JOB_ID_SOMETHING","HOTFIX_COUNT","TOTAL_HOTFIX_SIZE"
3952398,3,442,23/09/2016 21:07:41,23/09/2016 21:00:19,3952398,2660402,6424644,3952399,2660406,2660406,10,149966506
3953322,1,1408,23/09/2016 18:25:27,23/09/2016 18:01:59,3953322,2660677,6420515,3953323,2660681,2660681,30,299418869
3893598,1,1245,22/07/2016 21:21:01,22/07/2016 21:00:16,3893598,2653217,6266193,3893599,2653224,2653224,10,139324844
3953092,7,1008,23/09/2016 22:47:06,23/09/2016 22:30:18,3953092,2660872,6420278,3953093,2660876,2660876,12,146040149
3959802,2,677,24/09/2016 01:11:22,24/09/2016 01:00:05,3959802,2661111,6431102,3959803,2661113,2661113,12,143533535
3933768,5,2358,15/09/2016 20:39:30,15/09/2016 20:00:12,3933768,2659546,6399073,3933769,2659561,2659561,8,122311163
3953942,1,732,24/09/2016 01:42:18,24/09/2016 01:30:06,3953942,2661264,6430820,3953943,2661266,2661266,9,114187253
3889279,2,895,22/07/2016 21:15:11,22/07/2016 21:00:16,3889279,2653065,6276629,3889280,2653078,2653078,10,108571376
3952854,1,2275,23/09/2016 21:38:13,23/09/2016 21:00:18,3952854,2660532,6420042,3952855,2660539,2660539,14,144176445
3890320,1,100,23/07/2016 01:31:50,23/07/2016 01:30:10,3890320,2653458,6259812,3890321,2653460,2653460,10,112890012
3954818,2,985,23/09/2016 21:17:17,23/09/2016 21:00:52,3954818,2660958,6424512,3954819,2660960,2660960,8,148219693
3954622,5,1593,23/09/2016 22:56:50,23/09/2016 22:30:17,3954622,2660239,6423516,3954623,2660244,2660244,43,347907102
3954834,8,1064,23/09/2016 22:49:30,23/09/2016 22:31:46,3954834,2660847,6424520,3954835,2660851,2660851,13,157040218
3959115,5,2119,23/09/2016 23:05:36,23/09/2016 22:30:17,3959115,2660166,6430110,3959116,2660174,2660174,12,107343340
3898767,1,1889,22/07/2016 21:31:46,22/07/2016 21:00:17,3898767,2653096,6283364,3898768,2653099,2653099,33,288959399
3889538,1,3597,14/07/2016 21:00:16,14/07/2016 20:00:19,3889538,2651736,6266433,3889539,2651753,2651753,7,85048885
3952860,1,1212,23/09/2016 22:50:29,23/09/2016 22:30:17,3952860,2660196,6420046,3952861,2660199,2660199,42,344413176
3953194,1,1907,24/09/2016 02:01:53,24/09/2016 01:30:06,3953194,2661259,6420382,3953195,2661261,2661261,6,105167333
3959232,3,1261,23/09/2016 21:22:33,23/09/2016 21:01:32,3959232,2660474,6430228,3959233,2660478,2660478,11,142267300
3953064,16,2051,23/09/2016 18:34:57,23/09/2016 18:00:46,3953064,2660577,6420261,3953065,2660581,2660581,11,131331083
3954453,4,1379,23/09/2016 21:23:20,23/09/2016 21:00:21,3954453,2660935,6423256,3954454,2660937,2660937,12,134879710
3959515,2,766,24/09/2016 01:12:51,24/09/2016 01:00:05,3959515,2661093,6424656,3959516,2661095,2661095,11,141777985
3888654,1,1129,14/07/2016 20:19:08,14/07/2016 20:00:19,3888654,2651691,6267992,3888655,2651710,2651710,5,70677541
3953824,2,345,23/09/2016 22:36:03,23/09/2016 22:30:18,3953824,2660859,6421115,3953825,2660864,2660864,1,4243585
3898106,1,4456,22/07/2016 22:14:32,22/07/2016 21:00:16,3898106,2653167,6269486,3898107,2653170,2653170,34,262424333
3946204,3,1956,15/09/2016 20:32:48,15/09/2016 20:00:12,3946204,2659673,6404303,3946205,2659675,2659675,9,145728184
3954743,1,1398,24/09/2016 01:53:24,24/09/2016 01:30:06,3954743,2661283,6423626,3954744,2661285,2661285,6,131872390
3954808,26,1851,23/09/2016 18:31:10,23/09/2016 18:00:19,3954808,2660618,6424506,3954809,2660620,2660620,13,157040218
3942647,2,3512,15/09/2016 20:58:44,15/09/2016 20:00:12,3942647,2659547,6393656,3942648,2659555,2659555,9,143573852
3952090,3,10638,23/09/2016 23:57:36,23/09/2016 21:00:18,3952090,2660324,6424994,3952091,2660339,2660339,8,93771187
3954842,1,330,23/09/2016 23:35:37,23/09/2016 23:30:07,3954842,2660756,6424525,3954843,2660758,2660758,10,149966506
3953635,1,766,23/09/2016 22:43:03,23/09/2016 22:30:17,3953635,2660185,6421351,3953636,2660188,2660188,35,205862995
3886298,1,1870,22/07/2016 21:31:27,22/07/2016 21:00:17,3886298,2653197,6256089,3886299,2653201,2653201,26,281709644
3959312,1,2058,23/09/2016 21:34:36,23/09/2016 21:00:18,3959312,2660952,6430374,3959313,2660955,2660955,15,196678942
3941784,1,1050,15/09/2016 20:17:42,15/09/2016 20:00:12,3941784,2659618,6398252,3941785,2659620,2659620,3,53677369
3952971,7,782,24/09/2016 01:43:08,24/09/2016 01:30:06,3952971,2661246,6420157,3952972,2661250,2661250,11,152502047
3952953,1,4160,23/09/2016 22:09:38,23/09/2016 21:00:18,3952953,2660527,6420145,3952954,2660538,2660538,47,440267037
3959230,1,1853,23/09/2016 21:32:13,23/09/2016 21:01:20,3959230,2660391,6430227,3959231,2660395,2660395,8,147697022
3898347,4,714,22/07/2016 21:12:10,22/07/2016 21:00:16,3898347,2653027,6279178,3898348,2653035,2653035,8,128284935
3954830,1,4686,23/09/2016 23:49:48,23/09/2016 22:31:42,3954830,2660827,6424518,3954831,2660830,2660830,21,123768259
3959119,5,1299,24/09/2016 00:51:45,24/09/2016 00:30:06,3959119,2661162,6430112,3959120,2661166,2661166,11,152502047
3897065,1,972,23/07/2016 01:16:21,23/07/2016 01:00:09,3897065,2653317,6284796,3897066,2653319,2653319,30,180267935
3895103,4,1715,14/07/2016 20:28:54,14/07/2016 20:00:19,3895103,2651706,6271102,3895104,2651748,2651748,8,122672480
3952568,10,1222,23/09/2016 21:20:40,23/09/2016 21:00:18,3952568,2660431,6419765,3952569,2660434,2660434,13,157040218
3959331,1,526,24/09/2016 00:38:52,24/09/2016 00:30:06,3959331,2661210,6430386,3959332,2661212,2661212,10,126062694
3889665,1,5388,22/07/2016 22:30:04,22/07/2016 21:00:16,3889665,2653190,6266877,3889666,2653193,2653193,34,240952124
3959517,1,402,24/09/2016 01:36:48,24/09/2016 01:30:06,3959517,2661235,6424657,3959518,2661237,2661237,1,4243585
3953189,1,2462,24/09/2016 01:11:08,24/09/2016 00:30:06,3953189,2661185,6420379,3953190,2661187,2661187,14,158198090
3954117,1,865,23/09/2016 18:15:41,23/09/2016 18:01:16,3954117,2660628,6422871,3954118,2660630,2660630,7,138284984
3889702,8,2283,14/07/2016 20:38:22,14/07/2016 20:00:19,3889702,2651910,6259302,3889703,2651921,2651921,8,128284935
3887474,5,1908,14/07/2016 20:32:06,14/07/2016 20:00:18,3887474,2651690,6258214,3887475,2651712,2651712,9,131079294
3959335,6,1072,24/09/2016 01:47:58,24/09/2016 01:30:06,3959335,2661294,6430388,3959336,2661296,2661296,9,124202892
3953421,1,797,23/09/2016 21:14:15,23/09/2016 21:00:58,3953421,2660996,6430511,3953422,2661000,2661000,9,138971700
3953814,44,2919,23/09/2016 21:48:58,23/09/2016 21:00:19,3953814,2660517,6421109,3953815,2660522,2660522,5,77171379
3959110,1,2180,23/09/2016 21:36:38,23/09/2016 21:00:18,3959110,2660363,6430107,3959111,2660372,2660372,5,66178832
3954728,1,1840,23/09/2016 21:31:45,23/09/2016 21:01:05,3954728,2660982,6423618,3954729,2660984,2660984,11,139650843
3954461,2,2768,23/09/2016 21:46:40,23/09/2016 21:00:32,3954461,2660412,6423260,3954462,2660422,2660422,11,160714814
3953918,1,1510,23/09/2016 21:25:29,23/09/2016 21:00:19,3953918,2660455,6430805,3953919,2660464,2660464,8,117906823
3897154,4,578,22/07/2016 21:09:54,22/07/2016 21:00:16,3897154,2653155,6287601,3897155,2653159,2653159,1,13758256
3954459,5,326,23/09/2016 21:05:56,23/09/2016 21:00:30,3954459,2660928,6423259,3954460,2660931,2660931,1,4243585
3945350,1,1790,15/09/2016 20:30:02,15/09/2016 20:00:12,3945350,2659706,6403739,3945351,2659708,2659708,18,157901734
3959224,1,2314,23/09/2016 21:38:52,23/09/2016 21:00:18,3959224,2660463,6430224,3959225,2660469,2660469,6,104444441
3948305,4,9158,15/09/2016 22:32:50,15/09/2016 20:00:12,3948305,2659545,6402935,3948306,2659564,2659564,6,83832698
3886239,7,2051,14/07/2016 20:34:29,14/07/2016 20:00:18,3886239,2651876,6256035,3886240,2651878,2651878,9,115101989
3893459,14,1547,14/07/2016 20:26:05,14/07/2016 20:00:18,3893459,2651705,6270618,3893460,2651738,2651738,7,101445939
3954730,1,10857,24/09/2016 00:02:04,23/09/2016 21:01:07,3954730,2661030,6423619,3954731,2661032,2661032,30,234901435
3901216,1,5274,22/07/2016 22:28:10,22/07/2016 21:00:16,3901216,2653053,6284580,3901217,2653069,2653069,28,212028302
3952687,1,1584,23/09/2016 21:27:12,23/09/2016 21:00:48,3952687,2660923,6429822,3952688,2660926,2660926,32,199787788
3945806,7,4371,15/09/2016 21:13:03,15/09/2016 20:00:12,3945806,2659590,6405093,3945807,2659596,2659596,5,130110323
3946518,1,2071,15/09/2016 20:34:43,15/09/2016 20:00:12,3946518,2659613,6393173,3946519,2659615,2659615,9,155988139
3959502,1,7125,24/09/2016 00:29:03,23/09/2016 22:30:18,3959502,2660271,6424647,3959503,2660274,2660274,37,262234090
3891398,1,5210,13/07/2016 23:26:59,13/07/2016 22:00:09,3891398,2651611,6263164,3891399,2651613,2651613,117,582225962
3943551,108,14174,15/09/2016 23:56:26,15/09/2016 20:00:12,3943551,2659695,6402347,3943552,2659697,2659697,4,108378380
3891115,1,622,23/07/2016 01:10:31,23/07/2016 01:00:09,3891115,2653361,6261611,3891116,2653363,2653363,3,55139886
3954620,1,5235,23/09/2016 22:27:33,23/09/2016 21:00:18,3954620,2660521,6423515,3954621,2660536,2660536,20,222140595
3894903,2,3588,14/07/2016 21:00:07,14/07/2016 20:00:19,3894903,2651940,6270802,3894904,2651942,2651942,10,136328530
3890215,2,1312,14/07/2016 20:22:11,14/07/2016 20:00:19,3890215,2651767,6259911,3890216,2651774,2651774,14,154975615
3953436,1,593,23/09/2016 23:40:00,23/09/2016 23:30:07,3953436,2660720,6430522,3953437,2660722,2660722,12,146040149
3954451,2,315,23/09/2016 21:05:33,23/09/2016 21:00:18,3954451,2660317,6423255,3954452,2660322,2660322,1,4243585
3959404,1,1036,23/09/2016 21:17:34,23/09/2016 21:00:18,3959404,2660423,6430902,3959405,2660427,2660427,6,131872390
3954828,1,255,23/09/2016 22:35:55,23/09/2016 22:31:40,3954828,2660832,6424517,3954829,2660834,2660834,10,149966506
3954628,1,901,23/09/2016 22:46:15,23/09/2016 22:31:14,3954628,2660881,6423519,3954629,2660883,2660883,13,167300173
3952862,1,655,23/09/2016 22:41:25,23/09/2016 22:30:30,3952862,2660839,6420047,3952863,2660844,2660844,13,157040218
3954455,2,1466,23/09/2016 21:24:50,23/09/2016 21:00:24,3954455,2660511,6423257,3954456,2660513,2660513,7,145630646
3889812,38,4782,14/07/2016 21:20:00,14/07/2016 20:00:18,3889812,2651671,6259410,3889813,2651697,2651697,6,118978022
3952285,1,972,24/09/2016 01:46:18,24/09/2016 01:30:06,3952285,2661251,6430614,3952286,2661253,2661253,5,77171379
3901313,1,802,22/07/2016 21:13:38,22/07/2016 21:00:16,3901313,2653041,6287464,3901314,2653060,2653060,13,147560051
3893693,1,539,23/07/2016 00:39:08,23/07/2016 00:30:09,3893693,2653261,6276829,3893694,2653263,2653263,8,126595679
3891230,1,938,23/07/2016 00:45:47,23/07/2016 00:30:09,3891230,2653291,6261719,3891231,2653293,2653293,5,116761430
3895595,1,1055,22/07/2016 21:17:52,22/07/2016 21:00:17,3895595,2653151,6272962,3895596,2653154,2653154,22,136978912
3953715,1,606,23/09/2016 18:14:22,23/09/2016 18:04:16,3953715,2660665,6430402,3953716,2660667,2660667,15,140344151
3952967,1,515,24/09/2016 00:38:41,24/09/2016 00:30:06,3952967,2661180,6420155,3952968,2661182,2661182,12,146172425
3954324,1,1971,23/09/2016 23:03:08,23/09/2016 22:30:17,3954324,2660165,6423017,3954325,2660170,2660170,11,137718123
3954466,1,1314,23/09/2016 23:52:01,23/09/2016 23:30:07,3954466,2660707,6423263,3954467,2660709,2660709,11,142267300
3890104,5,1228,14/07/2016 20:20:47,14/07/2016 20:00:19,3890104,2651782,6259704,3890105,2651794,2651794,8,104775517
3953178,1,5366,23/09/2016 23:59:43,23/09/2016 22:30:17,3953178,2660234,6420372,3953179,2660237,2660237,33,256687411
3954133,2,761,23/09/2016 21:13:41,23/09/2016 21:01:00,3954133,2660549,6422881,3954134,2660551,2660551,8,147222584
3953938,1,365,24/09/2016 00:36:11,24/09/2016 00:30:06,3953938,2661156,6430818,3953939,2661158,2661158,1,4243585
3889177,2,9763,22/07/2016 23:42:59,22/07/2016 21:00:16,3889177,2653174,6256766,3889178,2653176,2653176,37,325440540
3954457,3,902,23/09/2016 21:15:29,23/09/2016 21:00:27,3954457,2660347,6423258,3954458,2660368,2660368,9,138971700
3954635,1,346,23/09/2016 23:35:53,23/09/2016 23:30:07,3954635,2660697,6423523,3954636,2660700,2660700,1,4243585
3952283,1,675,24/09/2016 00:41:21,24/09/2016 00:30:06,3952283,2661132,6430613,3952284,2661134,2661134,10,124544202
3896479,1,1452,22/07/2016 21:24:28,22/07/2016 21:00:16,3896479,2653182,6274381,3896480,2653187,2653187,11,168918594
3954741,1,619,24/09/2016 01:10:24,24/09/2016 01:00:05,3954741,2661086,6423625,3954742,2661088,2661088,10,136735830
3953341,1,1271,24/09/2016 01:21:16,24/09/2016 01:00:05,3953341,2661067,6420529,3953342,2661070,2661070,5,77171379
3890711,1,5751,22/07/2016 22:36:08,22/07/2016 21:00:17,3890711,2653116,6282694,3890712,2653119,2653119,61,347827600
3944409,2,7442,15/09/2016 22:04:14,15/09/2016 20:00:12,3944409,2659544,6378876,3944410,2659558,2659558,6,83832698
3952683,4,10467,23/09/2016 23:55:09,23/09/2016 21:00:42,3952683,2660452,6429820,3952684,2660456,2660456,8,93771187
3954023,1,1241,23/09/2016 22:50:59,23/09/2016 22:30:18,3954023,2660860,6430761,3954024,2660863,2660863,7,145630646
3952685,1,320,23/09/2016 21:06:06,23/09/2016 21:00:46,3952685,2660492,6429821,3952686,2660495,2660495,11,150237250
3899013,1,1344,23/07/2016 01:52:34,23/07/2016 01:30:10,3899013,2653434,6272495,3899014,2653436,2653436,5,116083286
3943157,2,4491,15/09/2016 21:15:03,15/09/2016 20:00:12,3943157,2659661,6402033,3943158,2659663,2659663,5,122136636
3952275,1,1092,23/09/2016 22:48:29,23/09/2016 22:30:17,3952275,2660773,6430607,3952276,2660781,2660781,6,90929635
3954135,1,2256,23/09/2016 23:07:54,23/09/2016 22:30:18,3954135,2660243,6422882,3954136,2660246,2660246,23,186744158
3886725,1,900,14/07/2016 20:15:19,14/07/2016 20:00:19,3886725,2651791,6254019,3886726,2651799,2651799,8,104180813
3890233,1,419,23/07/2016 01:37:09,23/07/2016 01:30:10,3890233,2653446,6259925,3890234,2653448,2653448,8,127309891
3944864,1,1462,15/09/2016 20:24:34,15/09/2016 20:00:12,3944864,2659556,6401772,3944865,2659565,2659565,8,135746534
3954464,1,5196,23/09/2016 23:56:53,23/09/2016 22:30:17,3954464,2660266,6423261,3954465,2660275,2660275,38,323747727
3959202,8,2723,23/09/2016 18:47:27,23/09/2016 18:02:04,3959202,2660652,6430208,3959203,2660654,2660654,7,145630646
3888081,1,1656,14/07/2016 20:27:54,14/07/2016 20:00:18,3888081,2651855,6271001,3888082,2651863,2651863,5,89797558
3889670,4,891,23/07/2016 01:45:01,23/07/2016 01:30:10,3889670,2653422,6266880,3889671,2653424,2653424,7,120402027
3945907,1,3286,15/09/2016 20:54:58,15/09/2016 20:00:12,3945907,2659592,6404106,3945908,2659595,2659595,24,189333205
3953732,3,813,23/09/2016 22:43:51,23/09/2016 22:30:18,3953732,2660786,6430414,3953733,2660790,2660790,11,131331083
3959226,13,2146,23/09/2016 21:36:57,23/09/2016 21:01:11,3959226,2660966,6430225,3959227,2660968,2660968,12,156764211
3947603,1,1100,15/09/2016 20:18:32,15/09/2016 20:00:12,3947603,2659689,6408602,3947604,2659691,2659691,19,156642575
3954322,1,689,23/09/2016 21:11:47,23/09/2016 21:00:18,3954322,2660321,6423016,3954323,2660328,2660328,4,75409312
3953612,11,1219,23/09/2016 18:22:49,23/09/2016 18:02:30,3953612,2660642,6421336,3953613,2660644,2660644,12,146040149
3954724,1,1154,23/09/2016 21:19:44,23/09/2016 21:00:30,3954724,2660380,6423616,3954725,2660387,2660387,11,123070987
3890537,5,668,22/07/2016 21:11:24,22/07/2016 21:00:16,3890537,2653160,6260132,3890538,2653162,2653162,10,140986320
3892988,3,2185,14/07/2016 20:36:43,14/07/2016 20:00:18,3892988,2651922,6271252,3892989,2651925,2651925,8,122672480
3954215,1,1110,23/09/2016 18:19:42,23/09/2016 18:01:12,3954215,2660604,6423168,3954216,2660607,2660607,6,90929635
3954816,12,1130,23/09/2016 21:19:08,23/09/2016 21:00:18,3954816,2660500,6424511,3954817,2660505,2660505,12,146040149
3953235,25,2725,23/09/2016 18:45:44,23/09/2016 18:00:19,3953235,2660593,6420832,3953236,2660596,2660596,5,77171379
3901804,3,953,23/07/2016 01:16:02,23/07/2016 01:00:09,3901804,2653343,6272969,3901805,2653345,2653345,4,109928920
3959409,5,1372,23/09/2016 22:53:09,23/09/2016 22:30:17,3959409,2660816,6430905,3959410,2660819,2660819,10,121004611
3898820,2,1151,23/07/2016 01:49:21,23/07/2016 01:30:10,3898820,2653408,6276281,3898821,2653411,2653411,7,105369138
3944745,63,11116,15/09/2016 23:05:29,15/09/2016 20:00:13,3944745,2659577,6406684,3944746,2659580,2659580,7,111984691
3944987,3,3902,15/09/2016 21:05:14,15/09/2016 20:00:12,3944987,2659647,6408513,3944988,2659650,2659650,4,108378380
3888551,1,72364,15/07/2016 16:06:23,14/07/2016 20:00:19,3888551,2651811,6255769,3888552,2651816,2651816,15,134320254
3889668,1,502,23/07/2016 01:08:31,23/07/2016 01:00:09,3889668,2653353,6266879,3889669,2653355,2653355,5,110183193
3895003,60,5494,14/07/2016 21:31:53,14/07/2016 20:00:19,3895003,2651689,6270902,3895004,2651715,2651715,5,112165054
3898642,1,2049,23/07/2016 01:34:18,23/07/2016 01:00:09,3898642,2653373,6284914,3898643,2653375,2653375,46,227361572
3888371,30,2648,14/07/2016 20:44:26,14/07/2016 20:00:18,3888371,2651743,6255566,3888372,2651755,2651755,8,128854772
3895108,2,715,22/07/2016 21:12:11,22/07/2016 21:00:16,3895108,2653183,6271106,3895109,2653186,2653186,8,64981619
3889391,1,1622,14/07/2016 20:27:20,14/07/2016 20:00:18,3889391,2651803,6257880,3889392,2651808,2651808,7,120402027
3886475,1,2595,22/07/2016 21:43:32,22/07/2016 21:00:17,3886475,2653209,6266393,3886476,2653211,2653211,21,164332635
3954848,12,1329,24/09/2016 01:22:14,24/09/2016 01:00:05,3954848,2661098,6424528,3954849,2661100,2661100,11,152502047
3959251,9,973,24/09/2016 01:16:18,24/09/2016 01:00:05,3959251,2661116,6430241,3959252,2661118,2661118,9,124202892
3940886,1,6477,15/09/2016 21:48:09,15/09/2016 20:00:12,3940886,2659652,6394465,3940887,2659654,2659654,6,104444441
3953743,1,424,23/09/2016 23:37:11,23/09/2016 23:30:07,3953743,2660702,6430422,3953744,2660704,2660704,2,15238391
3954734,1,1086,23/09/2016 21:19:59,23/09/2016 21:01:53,3954734,2660334,6423621,3954735,2660355,2660355,7,134461437
3954574,2,1324,24/09/2016 00:52:10,24/09/2016 00:30:06,3954574,2661144,6423360,3954575,2661150,2661150,9,114187253
3895397,2,793,22/07/2016 21:13:30,22/07/2016 21:00:17,3895397,2653225,6284620,3895398,2653227,2653227,10,108571376
3953256,1,1576,23/09/2016 23:56:23,23/09/2016 23:30:07,3953256,2660293,6420847,3953257,2660295,2660295,23,186744158
3953527,1,1593,23/09/2016 22:56:51,23/09/2016 22:30:18,3953527,2660227,6420419,3953528,2660229,2660229,41,344047642
3953620,1,329,23/09/2016 21:05:48,23/09/2016 21:00:19,3953620,2661014,6421341,3953621,2661016,2661016,2,4514329
3889705,10,1757,22/07/2016 21:29:34,22/07/2016 21:00:17,3889705,2653124,6259304,3889706,2653127,2653127,15,134320254
3896793,15,1086,23/07/2016 00:48:15,23/07/2016 00:30:09,3896793,2653256,6274892,3896794,2653258,2653258,7,125554341
